Date/Time,BLOCK POLY_30_RESIDENTIAL_1 STOREY 0:Zone Mean Radiant Temperature [C](Hourly),BLOCK POLY_30_RESIDENTIAL_1 STOREY 0:Zone Mean Air Dewpoint Temperature [C](Hourly),BLOCK POLY_30_RESIDENTIAL_1 STOREY 0:Zone Air Temperature [C](Hourly),BLOCK POLY_30_RESIDENTIAL_1 STOREY 0:Zone Air Humidity Ratio [](Hourly),PEOPLE_SCHEDULE:Schedule Value [](Hourly),LIGHTS_SCHEDULE:Schedule Value [](Hourly),ELECTRICEQUIPMENT_SCHEDULE:Schedule Value [](Hourly),HEATING_SP_SCHEDULE:Schedule Value [](Hourly),HEATING_PERIOD_SCHEDULE:Schedule Value [](Hourly),COOLING_PERIOD_SCHEDULE:Schedule Value [](Hourly),HVAC_CONDITIONEDTIME_SCHEDULE:Schedule Value [](Hourly),AIREX_CONDITIONEDTIME_SCHEDULE:Schedule Value [](Hourly),CN_GENERICACTIVITYLEVEL:Schedule Value [](Hourly),COOLING_SP_SCHEDULE:Schedule Value [](Hourly),HVACTEMPLATE-ALWAYS 4:Schedule Value [](Hourly),HVACTEMPLATE-ALWAYS 0:Schedule Value [](Hourly) 
 05/01  01:00:00,21.483323666265488,6.209359510991643,22.01222231564359,0.005906316357124826,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  02:00:00,19.955806910470642,6.025076656363877,20.697307123780664,0.005830805760363631,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  03:00:00,18.796633293306268,5.588858289061275,19.403857344798073,0.005655568837256901,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  04:00:00,17.871240438316946,5.208163238963543,18.33732673671082,0.0055064925582322104,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  05:00:00,17.10222207861088,4.726978052629945,17.144652985061153,0.005323109217176304,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  06:00:00,16.525212539883512,4.680620542440671,16.637035849088534,0.005305685705856149,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  07:00:00,19.594081699398654,4.71501292350281,18.457587304870618,0.005318567819223263,0.85,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  08:00:00,24.047608715033153,4.842653220839289,22.355401053314832,0.005366568082757949,0.65,0.0,0.23,12.0,0.0,0.0,0.0,0.5,80.0,37.0,4.0,0.0 
 05/01  09:00:00,27.532543844636816,4.980969156003497,26.5777154970142,0.0054190241044240585,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  10:00:00,31.292541358333995,5.1818200283033615,29.87522889364582,0.005496036946096522,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  11:00:00,33.61745830859096,5.433848324473683,32.713747424329114,0.005594069831024189,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  12:00:00,34.686711305249155,5.716830782372412,34.01227079915871,0.005706009776465861,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  13:00:00,35.4652026889636,6.005678018784197,35.464472593117726,0.005822331051502731,0.1,0.0,0.69,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  14:00:00,37.69360778560579,6.321898802860179,37.226679385002704,0.0059523456405859735,0.1,0.0,0.69,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  15:00:00,39.24917336520698,6.62161547158913,38.42620367463513,0.006077913101838939,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  16:00:00,40.36803207583183,7.269509436492747,39.88707714063304,0.006357393952308903,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  17:00:00,39.639163241226974,7.9534186439507275,39.63652404655051,0.006664814539902531,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/01  18:00:00,37.114232506562225,8.865815395213339,35.88922401696305,0.007095479249396139,0.75,0.0,0.23,18.0,0.0,0.0,0.0,0.5,120.0,37.0,4.0,0.0 
 05/01  19:00:00,32.613927671575375,8.710579210636505,32.1924980512323,0.007020728761170502,0.75,0.0,0.23,18.0,0.0,0.0,0.0,0.5,80.0,37.0,4.0,0.0 
 05/01  20:00:00,27.971760629130767,8.162270779640334,28.533793616287653,0.00676172037445331,0.9,1.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  21:00:00,24.96710313149718,7.771571079049786,27.0589861344944,0.00658251463656472,0.9,1.0,1.0,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  22:00:00,24.401891424610115,7.646199907441253,26.486855324814675,0.006526168554744325,0.9,1,1,18,0,0,1,0.5,80,27,4,0
 05/01  23:00:00,23.83667971772305,7.52082873583272,25.91472451513495,0.00646982247292393,0.9,1.0,1.0,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/01  24:00:00,22.759350548963702,6.98608094559469,24.844447669300997,0.006234954280066995,0.95,1.0,1.0,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  01:00:00,21.145708967915468,6.563722555885074,21.404979847370157,0.006055074947544858,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  02:00:00,19.561638787617348,6.329800672632187,19.963978638996387,0.005957471218904646,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  03:00:00,18.53924441329495,6.2009076437170165,18.992093999565284,0.005904373179772418,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  04:00:00,17.796052999145772,6.106202488132245,18.253907899604947,0.005865616733118431,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  05:00:00,17.24728161983246,6.1956971865972275,17.434890699013565,0.005902523932325995,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  06:00:00,16.889074737924062,6.259964570258299,17.117629177033976,0.005929146312679125,0.98,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  07:00:00,20.478444248011776,6.209936426857722,19.26611222419043,0.0059086827318591386,0.85,0.0,0.23,18.0,0.0,0.0,1.0,0.5,80.0,27.0,4.0,0.0 
 05/02  08:00:00,24.66824477001276,6.081071946830652,23.176312863569027,0.0058559843752454275,0.65,0.0,0.23,12.0,0.0,0.0,0.0,0.5,80.0,37.0,4.0,0.0 
 05/02  09:00:00,28.690281090541166,6.227129852584057,27.5922086708483,0.005916065649752153,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  10:00:00,31.948012983032832,6.430141290484462,30.760804727223878,0.006000503566607783,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  11:00:00,34.510434170546105,6.67557567846505,33.549565863649846,0.00610398623130848,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  12:00:00,36.04141340508259,6.957428860968349,35.278797669580534,0.006224700538928922,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  13:00:00,36.80978856041486,7.251378245982341,36.85622342870011,0.006352923563890548,0.1,0.0,0.69,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  14:00:00,39.264385799225764,7.544916566697794,38.71690053941131,0.006482799893649718,0.1,0.0,0.69,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  15:00:00,41.00720663405818,7.8305632422358205,40.29474912945129,0.006611514095396336,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
 05/02  16:00:00,42.194389259726705,8.107724519341357,41.63415939158486,0.0067385071937634735,0.1,0.0,0.23,18.0,0.0,0.0,0.0,0.0,120.0,37.0,4.0,0.0 
