FID,BuildingID,landUseTyp,Area,Fheight,Fnum,Height,Age,LandNum,Cluster,Centre
480,85379512.0,Residential_1,754.0911,3.0,3,9.0,1970.0,0,2.0,-1.0
1177,85396116.0,Residential_1,180.377,3.0,1,3.0,1970.0,0,1.0,-1.0
1848,85509194.0,Residential_1,159.5956,0.0,0,3.0,1970.0,0,1.0,-1.0
1849,85509310.0,Residential_1,62.9092,0.0,0,3.0,1970.0,0,1.0,-1.0
1850,85509311.0,Residential_1,62.9132,0.0,0,3.0,1970.0,0,1.0,-1.0
1851,85509312.0,Residential_1,62.9113,0.0,0,3.0,1970.0,0,1.0,-1.0
1852,85509341.0,Residential_1,163.5001,0.0,0,3.0,1970.0,0,1.0,-1.0
1853,85509342.0,Residential_1,126.6847,0.0,0,3.0,1970.0,0,1.0,-1.0
1854,85509343.0,Residential_1,126.692,0.0,0,3.0,1970.0,0,1.0,-1.0
1855,85509330.0,Residential_1,72.7968,0.0,0,3.0,1970.0,0,1.0,-1.0
1856,85509331.0,Residential_1,72.5924,0.0,0,3.0,1970.0,0,1.0,-1.0
1857,85509332.0,Residential_1,58.597,0.0,0,3.0,1970.0,0,1.0,-1.0
1858,85509333.0,Residential_1,58.5951,0.0,0,3.0,1970.0,0,1.0,-1.0
1859,85509335.0,Residential_1,93.3663,0.0,0,3.0,1970.0,0,1.0,-1.0
1860,85509361.0,Residential_1,65.3128,0.0,0,3.0,1970.0,0,1.0,-1.0
1861,85509362.0,Residential_1,65.488,0.0,0,3.0,1970.0,0,1.0,-1.0
1862,85509363.0,Residential_1,65.505,0.0,0,3.0,1970.0,0,1.0,-1.0
1864,85509371.0,Residential_1,81.6766,0.0,0,3.0,1970.0,0,1.0,-1.0
1865,85509372.0,Residential_1,53.6324,0.0,0,3.0,1990.0,0,12.0,-1.0
1867,85509374.0,Residential_1,56.5709,0.0,0,3.0,1970.0,0,1.0,-1.0
1868,85509375.0,Residential_1,55.3504,0.0,0,3.0,1970.0,0,1.0,-1.0
1878,85509417.0,Residential_1,80.781,0.0,0,3.0,1970.0,0,1.0,-1.0
1879,85509418.0,Residential_1,80.6688,0.0,0,3.0,1970.0,0,1.0,-1.0
1881,85509414.0,Residential_1,91.8512,0.0,0,3.0,1970.0,0,1.0,-1.0
1882,85509415.0,Residential_1,91.8532,0.0,0,3.0,1970.0,0,1.0,-1.0
1883,85509433.0,Residential_1,93.8998,0.0,0,3.0,1970.0,0,1.0,-1.0
1886,85509449.0,Residential_1,82.9914,0.0,0,3.0,1970.0,0,1.0,-1.0
1888,85509456.0,Residential_1,53.2378,0.0,0,3.0,1970.0,0,1.0,-1.0
2530,85380924.0,Residential_1,338.6228,3.0,2,6.0,1970.0,0,2.0,-1.0
2940,85429544.0,Residential_1,719.5713,3.0,3,9.0,1970.0,0,2.0,-1.0
3271,85396382.0,Residential_1,886.3971,3.0,3,9.0,1970.0,0,2.0,-1.0
3373,85396420.0,Residential_1,173.7488,3.0,1,3.0,1970.0,0,1.0,-1.0
3444,85396743.0,Residential_1,322.1297,3.0,3,9.0,1970.0,0,2.0,-1.0
3467,85397301.0,Residential_1,267.3579,3.0,1,3.0,1970.0,0,1.0,-1.0
3558,85419611.0,Residential_1,464.2579,3.0,3,9.0,1970.0,0,2.0,-1.0
3559,85419612.0,Residential_1,351.4034,3.0,3,9.0,1970.0,0,2.0,-1.0
3560,85419614.0,Residential_1,396.7772,3.0,3,9.0,1970.0,0,2.0,-1.0
3561,85419615.0,Residential_1,385.4772,3.0,3,9.0,1970.0,0,2.0,-1.0
3564,85419619.0,Residential_1,589.4997,3.0,3,9.0,1970.0,0,2.0,-1.0
3566,85419628.0,Residential_1,362.5994,3.0,3,9.0,1970.0,0,2.0,-1.0
3568,85419635.0,Residential_1,311.6924,3.0,3,9.0,1970.0,0,2.0,-1.0
3703,85376924.0,Residential_1,146.0657,3.0,1,3.0,1970.0,0,1.0,-1.0
4244,85377505.0,Residential_1,217.4292,3.0,2,6.0,1970.0,0,1.0,-1.0
4252,85377513.0,Residential_1,482.8211,3.0,2,6.0,1970.0,0,2.0,-1.0
4331,85377606.0,Residential_1,368.5656,3.0,1,3.0,1970.0,0,1.0,-1.0
4340,85377629.0,Residential_1,270.7818,3.0,3,9.0,1970.0,0,2.0,-1.0
4365,85377657.0,Residential_1,856.1435,3.0,2,6.0,1970.0,0,2.0,-1.0
4373,85377665.0,Residential_1,133.5913,3.0,2,6.0,1970.0,0,1.0,-1.0
4388,85377680.0,Residential_1,154.6403,3.0,2,6.0,1990.0,0,11.0,-1.0
4528,85377785.0,Residential_1,820.3115,3.0,2,6.0,1970.0,0,2.0,-1.0
4776,85435122.0,Residential_1,391.2942,3.0,3,9.0,1970.0,0,2.0,-1.0
4920,85501885.0,Residential_1,1425.7391,0.0,0,6.0,1970.0,0,2.0,-1.0
4934,85502011.0,Residential_1,198.871,3.0,2,6.0,1970.0,0,1.0,-1.0
4935,85502012.0,Residential_1,466.723,0.0,0,6.0,1970.0,0,2.0,-1.0
4964,85502148.0,Residential_1,844.4579,0.0,0,5.0,1970.0,0,1.0,-1.0
4997,85502239.0,Residential_1,1418.6864,0.0,0,3.0,1970.0,0,1.0,-1.0
4998,85502228.0,Residential_1,802.6511,3.0,2,6.0,1970.0,0,2.0,-1.0
4999,85502229.0,Residential_1,1371.4231,0.0,0,3.0,1970.0,0,1.0,-1.0
5007,85502261.0,Residential_1,1624.8654,0.0,0,4.0,1970.0,0,1.0,-1.0
5011,85502294.0,Residential_1,5343.1922,0.0,0,4.0,1970.0,0,1.0,-1.0
5014,85502297.0,Residential_1,6396.5343,0.0,0,4.0,1970.0,0,1.0,-1.0
5027,85502176.0,Residential_1,718.8019,3.0,3,9.0,1970.0,0,2.0,-1.0
5098,85502649.0,Residential_1,3340.1189,0.0,0,6.0,1970.0,0,2.0,-1.0
5099,85502650.0,Residential_1,2266.7889,0.0,0,6.0,1970.0,0,2.0,-1.0
5104,85502708.0,Residential_1,1681.979,0.0,0,12.0,1970.0,0,2.0,-1.0
5181,347701372.0,Residential_1,2667.6903,3.0,3,9.0,1980.0,0,14.0,-1.0
5390,85389325.0,Residential_1,193.6383,3.0,1,3.0,1970.0,0,1.0,-1.0
5502,85390421.0,Residential_1,558.773,3.0,3,9.0,1970.0,0,2.0,-1.0
5518,85427078.0,Residential_1,342.8217,3.0,3,9.0,1970.0,0,2.0,-1.0
5606,85427730.0,Residential_1,375.0842,3.0,2,6.0,1970.0,0,2.0,-1.0
5617,85512003.0,Residential_1,57.5317,0.0,0,3.0,1970.0,0,1.0,-1.0
5623,85512386.0,Residential_1,58.6646,0.0,0,3.0,1970.0,0,1.0,-1.0
5624,85512387.0,Residential_1,58.6662,0.0,0,3.0,1970.0,0,1.0,-1.0
5685,548472179.0,Residential_1,197.4911,3.0,3,9.0,1970.0,0,2.0,-1.0
5688,548474128.0,Residential_1,306.3411,3.0,1,3.0,1970.0,0,1.0,-1.0
5689,548474129.0,Residential_1,348.7262,3.0,1,3.0,1970.0,0,1.0,-1.0
5690,548474130.0,Residential_1,471.4315,3.0,3,9.0,1970.0,0,2.0,-1.0
5691,548474178.0,Residential_1,143.9167,3.0,3,9.0,1970.0,0,2.0,-1.0
5692,548480643.0,Residential_1,1278.9675,3.0,1,3.0,1970.0,0,1.0,-1.0
5693,548480645.0,Residential_1,1121.7785,3.0,1,3.0,1970.0,0,1.0,-1.0
5694,548480704.0,Residential_1,998.5506,3.0,1,3.0,1970.0,0,1.0,-1.0
5859,85371437.0,Residential_1,679.9121,3.0,1,3.0,1970.0,0,1.0,-1.0
6004,85457328.0,Residential_1,512.9981,3.0,2,6.0,1970.0,0,2.0,-1.0
6069,85457984.0,Residential_1,271.9477,3.0,3,9.0,1970.0,0,2.0,-1.0
6074,85506893.0,Residential_1,3390.0975,0.0,0,6.0,1970.0,0,2.0,-1.0
6257,85369015.0,Residential_1,217.8347,3.0,2,6.0,1970.0,0,1.0,-1.0
6258,85369016.0,Residential_1,267.0793,3.0,2,6.0,1970.0,0,1.0,-1.0
6261,85369019.0,Residential_1,682.1859,3.0,2,6.0,1970.0,0,2.0,-1.0
6272,85368999.0,Residential_1,107.1641,3.0,2,6.0,1970.0,0,1.0,-1.0
6274,85369059.0,Residential_1,883.8322,3.0,3,9.0,1970.0,0,2.0,-1.0
6280,85369065.0,Residential_1,555.7575,3.0,3,9.0,1970.0,0,2.0,-1.0
6281,85369066.0,Residential_1,800.2495,3.0,3,9.0,1970.0,0,2.0,-1.0
6374,85432956.0,Residential_1,941.1708,3.0,3,9.0,1970.0,0,2.0,-1.0
6378,85432967.0,Residential_1,239.067,3.0,1,3.0,1970.0,0,1.0,-1.0
6621,85381792.0,Residential_1,266.1795,3.0,1,3.0,1970.0,0,1.0,-1.0
6666,85381837.0,Residential_1,374.685,3.0,1,3.0,1970.0,0,1.0,-1.0
6842,85382592.0,Residential_1,158.4599,3.0,1,3.0,1970.0,0,1.0,-1.0
6962,85421970.0,Residential_1,475.1605,3.0,2,6.0,1970.0,0,2.0,-1.0
6976,85422105.0,Residential_1,894.3482,3.0,3,9.0,1970.0,0,2.0,-1.0
7181,85386542.0,Residential_1,194.3585,3.0,2,6.0,1970.0,0,1.0,-1.0
7542,1041254558.0,Residential_1,387.2422,3.0,1,3.0,1970.0,0,1.0,-1.0
8623,85418716.0,Residential_1,403.6879,3.0,3,9.0,1970.0,0,2.0,-1.0
8643,85510124.0,Residential_1,73.4229,0.0,0,3.0,1970.0,0,1.0,-1.0
8644,85510125.0,Residential_1,73.5966,0.0,0,3.0,1970.0,0,1.0,-1.0
8656,85510180.0,Residential_1,64.6772,0.0,0,3.0,1970.0,0,1.0,-1.0
8657,85510181.0,Residential_1,64.767,0.0,0,3.0,1970.0,0,1.0,-1.0
8658,85510182.0,Residential_1,64.7706,0.0,0,3.0,1970.0,0,1.0,-1.0
8659,85510183.0,Residential_1,166.1065,0.0,0,3.0,1970.0,0,1.0,-1.0
8660,85510184.0,Residential_1,155.8703,0.0,0,3.0,1970.0,0,1.0,-1.0
8661,85510185.0,Residential_1,140.9779,0.0,0,3.0,1970.0,0,1.0,-1.0
8662,85510186.0,Residential_1,143.4495,0.0,0,3.0,1970.0,0,1.0,-1.0
8663,85510187.0,Residential_1,187.8762,0.0,0,3.0,1970.0,0,1.0,-1.0
8667,85510241.0,Residential_1,58.0238,0.0,0,3.0,1970.0,0,1.0,-1.0
8671,85510229.0,Residential_1,67.9443,0.0,0,3.0,1990.0,0,12.0,-1.0
8672,85510230.0,Residential_1,67.8954,0.0,0,3.0,1990.0,0,12.0,-1.0
8673,85510355.0,Residential_1,103.8878,0.0,0,3.0,1970.0,0,1.0,-1.0
8674,85510356.0,Residential_1,85.1655,0.0,0,3.0,1970.0,0,1.0,-1.0
8675,85510357.0,Residential_1,93.354,0.0,0,3.0,1970.0,0,1.0,-1.0
8676,85510358.0,Residential_1,89.0294,0.0,0,3.0,1970.0,0,1.0,-1.0
8677,85510359.0,Residential_1,102.6979,0.0,0,3.0,1970.0,0,1.0,-1.0
8678,85510360.0,Residential_1,95.8324,0.0,0,3.0,1970.0,0,1.0,-1.0
8679,85510361.0,Residential_1,96.7482,0.0,0,3.0,1970.0,0,1.0,-1.0
8687,85510464.0,Residential_1,165.0738,0.0,0,3.0,1970.0,0,1.0,-1.0
8688,85510404.0,Residential_1,65.5542,0.0,0,3.0,1970.0,0,1.0,-1.0
8689,85510405.0,Residential_1,65.45,0.0,0,3.0,1970.0,0,1.0,-1.0
8690,85510406.0,Residential_1,65.2952,0.0,0,3.0,1970.0,0,1.0,-1.0
8697,85510451.0,Residential_1,73.8362,0.0,0,3.0,1970.0,0,1.0,-1.0
8698,85510452.0,Residential_1,73.8397,0.0,0,3.0,1970.0,0,1.0,-1.0
8701,85510495.0,Residential_1,52.5514,0.0,0,3.0,1970.0,0,1.0,-1.0
8705,85510510.0,Residential_1,107.1013,0.0,0,3.0,1970.0,0,1.0,-1.0
8714,85510532.0,Residential_1,55.075,0.0,0,3.0,1970.0,0,1.0,-1.0
8715,85510533.0,Residential_1,64.8105,0.0,0,3.0,1970.0,0,1.0,-1.0
8716,85510534.0,Residential_1,53.0634,0.0,0,3.0,1970.0,0,1.0,-1.0
8717,85510535.0,Residential_1,61.1787,0.0,0,3.0,1970.0,0,1.0,-1.0
8718,85510536.0,Residential_1,66.8266,0.0,0,3.0,1970.0,0,1.0,-1.0
8724,85510456.0,Residential_1,158.1556,0.0,0,3.0,1970.0,0,1.0,-1.0
8725,85510457.0,Residential_1,122.6128,0.0,0,3.0,1970.0,0,1.0,-1.0
8726,85510458.0,Residential_1,151.7457,0.0,0,3.0,1970.0,0,1.0,-1.0
9951,85460912.0,Residential_1,284.6109,3.0,3,9.0,1970.0,0,2.0,-1.0
9958,85510844.0,Residential_1,51.4138,0.0,0,3.0,1970.0,0,1.0,-1.0
9962,85510877.0,Residential_1,66.4584,0.0,0,3.0,1970.0,0,1.0,-1.0
